ダウンロードした時刻：2022/09/12 23:46:53

,大垣,大垣,大垣
2012/4/30,19.9,8,1
2012/5/1,21.3,8,1
2012/5/2,19.1,8,1
2012/5/3,19.2,8,1
2012/5/4,16.6,8,1
2012/5/5,19.3,8,1
2012/5/6,16.7,8,1
2012/5/7,15.8,8,1
2012/5/8,19.3,8,1
2012/5/9,18.9,8,1
2012/5/10,17.2,8,1
2012/5/11,14.2,8,1
2012/5/12,13.9,8,1
2012/5/13,15.5,8,1
2012/5/14,18.0,8,1
2012/5/15,16.4,8,1
2012/5/16,20.1,8,1
2012/5/17,19.6,8,1
2012/5/18,16.8,8,1
2012/5/19,19.2,8,1
2012/5/20,19.5,8,1
2012/5/21,20.3,8,1
2012/5/22,18.8,8,1
2012/5/23,19.4,8,1
2012/5/24,21.5,8,1
2012/5/25,18.5,8,1
2012/5/26,20.5,8,1
2012/5/27,21.3,8,1
2012/5/28,21.4,8,1
2012/5/29,19.7,8,1
2012/5/30,18.9,8,1
2012/5/31,20.9,8,1
2012/6/1,22.5,8,1
2012/6/2,21.6,8,1
2012/6/3,21.8,8,1
2012/6/4,21.5,8,1
2012/6/5,20.5,8,1
2012/6/6,23.1,8,1
2012/6/7,22.7,8,1
2012/6/8,22.4,8,1
2012/6/9,18.9,8,1
2012/6/10,21.9,8,1
2012/6/11,21.7,8,1
2012/6/12,20.1,8,1
2012/6/13,21.4,8,1
2012/6/14,23.1,8,1
2012/6/15,22.3,8,1
2012/6/16,19.1,8,1
2012/6/17,22.9,8,1
2012/6/18,24.6,8,1
2012/6/19,22.0,8,1
2012/6/20,23.1,8,1
2012/6/21,19.5,8,1
2012/6/22,21.3,8,1
2012/6/23,21.4,8,1
2012/6/24,22.7,8,1
2012/6/25,23.5,8,1
2012/6/26,21.5,8,1
2012/6/27,22.2,8,1
2012/6/28,22.2,8,1
2012/6/29,24.9,8,1
2012/6/30,24.6,8,1
2012/7/1,22.3,8,1
2012/7/2,26.0,8,1
2012/7/3,21.9,8,1
2012/7/4,26.5,8,1
2012/7/5,25.5,8,1
2012/7/6,22.7,8,1
2012/7/7,23.5,8,1
2012/7/8,24.4,8,1
2012/7/9,25.4,8,1
2012/7/10,26.0,8,1
2012/7/11,25.3,8,1
2012/7/12,25.5,8,1
2012/7/13,26.4,8,1
2012/7/14,27.0,8,1
2012/7/15,28.0,8,1
2012/7/16,28.3,8,1
2012/7/17,29.3,8,1
2012/7/18,30.3,8,1
2012/7/19,30.6,8,1
2012/7/20,25.2,8,1
2012/7/21,22.1,8,1
2012/7/22,23.2,8,1
2012/7/23,26.2,8,1
2012/7/24,28.3,8,1
2012/7/25,29.4,8,1
2012/7/26,30.2,8,1
2012/7/27,30.8,8,1
2012/7/28,31.2,8,1
2012/7/29,30.2,8,1
2012/7/30,29.9,8,1
2012/7/31,29.2,8,1
2012/8/1,29.0,8,1
2012/8/2,29.6,8,1
2012/8/3,29.8,8,1
2012/8/4,30.1,8,1
2012/8/5,29.5,8,1
2012/8/6,27.7,8,1
2012/8/7,29.0,8,1
2012/8/8,27.2,8,1
2012/8/9,27.8,8,1
2012/8/10,27.9,8,1
2012/8/11,26.5,8,1
2012/8/12,28.1,8,1
2012/8/13,27.5,8,1
2012/8/14,25.8,8,1
2012/8/15,28.0,8,1
2012/8/16,29.4,8,1
2012/8/17,29.3,8,1
2012/8/18,26.7,8,1
2012/8/19,27.2,8,1
2012/8/20,28.0,8,1
2012/8/21,28.2,8,1
2012/8/22,28.5,8,1
2012/8/23,28.4,8,1
2012/8/24,28.6,8,1
2012/8/25,28.8,8,1
2012/8/26,28.5,8,1
2012/8/27,28.6,8,1
2012/8/28,28.2,8,1
2012/8/29,26.9,8,1
2012/8/30,28.3,8,1
2012/8/31,28.8,8,1
2012/9/1,27.5,8,1
2012/9/2,27.0,8,1
2012/9/3,26.1,8,1
2012/9/4,27.4,8,1
2012/9/5,28.2,8,1
2012/9/6,27.9,8,1
2012/9/7,27.5,5,1
2012/9/8,25.3,8,1
2012/9/9,25.4,8,1
2012/9/10,25.9,8,1
2012/9/11,25.2,8,1
2012/9/12,26.2,8,1
2012/9/13,26.7,8,1
2012/9/14,25.4,8,1
2012/9/15,25.7,8,1
2012/9/16,27.2,8,1
2012/9/17,26.7,8,1
2012/9/18,24.7,8,1
2012/9/19,25.5,8,1
2012/9/20,25.2,8,1
2012/9/21,24.1,8,1
2012/9/22,24.0,8,1
2012/9/23,20.4,8,1
2012/9/24,23.2,8,1
2012/9/25,24.0,8,1
2012/9/26,22.9,8,1
2012/9/27,22.7,8,1
2012/9/28,23.7,8,1
2012/9/29,22.8,8,1
2012/9/30,21.5,8,1
2012/10/1,22.3,8,1
2012/10/2,22.6,8,1
2012/10/3,23.5,8,1
2012/10/4,24.0,8,1
2012/10/5,22.5,8,1
2012/10/6,21.0,8,1
2012/10/7,21.2,8,1
2012/10/8,20.5,8,1
2012/10/9,20.9,8,1
2012/10/10,20.2,8,1
2012/10/11,20.7,8,1
2012/10/12,18.6,8,1
2012/10/13,18.4,8,1
2012/10/14,18.3,8,1
2012/10/15,19.7,8,1
2012/10/16,19.3,8,1
2012/10/17,17.2,8,1
2012/10/18,17.8,8,1
2012/10/19,17.1,8,1
2012/10/20,16.2,8,1
2012/10/21,17.8,8,1
2012/10/22,17.9,8,1
2012/10/23,16.1,8,1
2012/10/24,14.7,8,1
2012/10/25,15.5,8,1
2012/10/26,16.4,8,1
2012/10/27,17.2,8,1
2012/10/28,15.2,8,1
2012/10/29,16.4,8,1
2012/10/30,14.4,8,1
2012/10/31,14.1,8,1
2012/11/1,13.1,8,1
2012/11/2,11.6,8,1
2012/11/3,12.4,8,1
2012/11/4,12.6,8,1
2012/11/5,14.3,8,1
2012/11/6,16.0,8,1
2012/11/7,13.3,8,1
2012/11/8,12.7,8,1
2012/11/9,14.6,8,1
2012/11/10,13.8,8,1
2012/11/11,12.0,8,1
2012/11/12,13.8,8,1
2012/11/13,11.0,8,1
2012/11/14,9.5,8,1
2012/11/15,6.5,8,1
2012/11/16,9.8,8,1
2012/11/17,10.1,8,1
2012/11/18,10.8,8,1
2012/11/19,8.2,8,1
2012/11/20,10.6,8,1
2012/11/21,10.1,8,1
2012/11/22,10.3,8,1
2012/11/23,11.0,8,1
2012/11/24,10.3,8,1
2012/11/25,7.6,8,1
2012/11/26,9.7,8,1
2012/11/27,7.6,8,1
2012/11/28,5.7,8,1
2012/11/29,8.4,8,1
2012/11/30,9.6,8,1
2012/12/1,7.5,8,1
2012/12/2,4.3,8,1
2012/12/3,7.3,8,1
2012/12/4,7.9,8,1
2012/12/5,6.1,8,1
2012/12/6,6.1,8,1
2012/12/7,5.2,8,1
2012/12/8,4.0,8,1
2012/12/9,1.9,8,1
2012/12/10,1.0,8,1
2012/12/11,2.2,8,1
2012/12/12,2.9,8,1
2012/12/13,4.1,8,1
2012/12/14,4.1,8,1
2012/12/15,7.1,8,1
2012/12/16,10.4,8,1
2012/12/17,8.8,8,1
2012/12/18,7.8,8,1
2012/12/19,3.6,8,1
2012/12/20,3.3,8,1
2012/12/21,4.7,8,1
2012/12/22,7.4,8,1
2012/12/23,5.6,8,1
2012/12/24,2.2,8,1
2012/12/25,2.4,8,1
2012/12/26,2.4,8,1
2012/12/27,1.5,8,1
2012/12/28,1.8,8,1
2012/12/29,8.8,8,1
2012/12/30,8.5,8,1
2012/12/31,4.8,8,1
2013/1/1,3.5,8,1
2013/1/2,4.6,8,1
2013/1/3,1.3,8,1
2013/1/4,0.6,8,1
2013/1/5,0.4,8,1
2013/1/6,2.5,8,1
2013/1/7,4.2,8,1
2013/1/8,5.7,8,1
2013/1/9,4.3,8,1
2013/1/10,4.0,8,1
2013/1/11,3.2,8,1
2013/1/12,3.0,8,1
2013/1/13,5.9,8,1
2013/1/14,6.0,8,1
2013/1/15,4.4,8,1
2013/1/16,3.7,8,1
2013/1/17,4.1,8,1
2013/1/18,1.7,8,1
2013/1/19,3.1,8,1
2013/1/20,4.9,8,1
2013/1/21,4.1,8,1
2013/1/22,6.4,8,1
2013/1/23,6.2,8,1
2013/1/24,6.4,8,1
2013/1/25,4.3,8,1
2013/1/26,0.6,8,1
2013/1/27,0.9,8,1
2013/1/28,2.0,8,1
2013/1/29,4.4,8,1
2013/1/30,6.1,8,1
2013/1/31,5.6,8,1
2013/2/1,5.3,8,1
2013/2/2,9.4,8,1
2013/2/3,7.6,8,1
2013/2/4,6.2,8,1
2013/2/5,6.5,8,1
2013/2/6,6.0,8,1
2013/2/7,4.4,8,1
2013/2/8,0.6,8,1
2013/2/9,1.6,8,1
2013/2/10,4.0,8,1
2013/2/11,3.8,8,1
2013/2/12,2.3,8,1
2013/2/13,4.3,8,1
2013/2/14,5.3,8,1
2013/2/15,4.8,8,1
2013/2/16,2.0,8,1
2013/2/17,2.2,8,1
2013/2/18,3.6,8,1
2013/2/19,4.1,8,1
2013/2/20,1.8,8,1
2013/2/21,1.7,8,1
2013/2/22,3.5,8,1
2013/2/23,3.0,8,1
2013/2/24,1.7,8,1
2013/2/25,2.0,8,1
2013/2/26,3.6,8,1
2013/2/27,6.6,8,1
2013/2/28,8.5,8,1
2013/3/1,7.4,8,1
2013/3/2,4.9,8,1
2013/3/3,4.4,8,1
2013/3/4,5.6,8,1
2013/3/5,6.2,8,1
2013/3/6,8.0,8,1
2013/3/7,10.0,8,1
2013/3/8,12.5,8,1
2013/3/9,15.8,8,1
2013/3/10,8.1,8,1
2013/3/11,5.7,8,1
2013/3/12,8.4,8,1
2013/3/13,10.6,8,1
2013/3/14,6.2,8,1
2013/3/15,7.6,8,1
2013/3/16,10.2,8,1
2013/3/17,12.0,8,1
2013/3/18,14.2,8,1
2013/3/19,15.9,8,1
2013/3/20,11.8,8,1
2013/3/21,6.2,8,1
2013/3/22,9.9,8,1
2013/3/23,10.6,8,1
2013/3/24,10.9,8,1
2013/3/25,10.0,8,1
2013/3/26,6.9,8,1
2013/3/27,9.1,8,1
2013/3/28,13.2,8,1
2013/3/29,13.8,8,1
2013/3/30,10.9,8,1
2013/3/31,10.8,8,1
2013/4/1,12.4,8,1
2013/4/2,14.2,8,1
2013/4/3,12.1,8,1
2013/4/4,14.9,8,1
2013/4/5,16.5,8,1
2013/4/6,15.6,8,1
2013/4/7,11.4,8,1
2013/4/8,10.8,8,1
2013/4/9,12.2,8,1
2013/4/10,10.2,8,1
2013/4/11,7.6,8,1
2013/4/12,7.5,8,1
2013/4/13,10.3,8,1
2013/4/14,13.2,8,1
2013/4/15,15.6,8,1
2013/4/16,16.4,8,1
2013/4/17,18.0,8,1
2013/4/18,17.9,8,1
2013/4/19,12.0,8,1
2013/4/20,9.8,8,1
2013/4/21,9.4,8,1
2013/4/22,10.6,8,1
2013/4/23,11.9,8,1
2013/4/24,13.5,8,1
2013/4/25,17.0,8,1
2013/4/26,13.1,8,1
2013/4/27,12.9,8,1
2013/4/28,14.2,8,1
2013/4/29,16.3,8,1
2013/4/30,15.4,8,1
2013/5/1,12.3,8,1
2013/5/2,11.8,8,1
2013/5/3,13.3,8,1
2013/5/4,14.4,8,1
2013/5/5,16.8,8,1
2013/5/6,17.3,8,1
2013/5/7,15.0,8,1
2013/5/8,14.6,8,1
2013/5/9,19.7,8,1
2013/5/10,17.3,8,1
2013/5/11,16.3,8,1
2013/5/12,19.7,8,1
2013/5/13,20.5,8,1
2013/5/14,22.2,8,1
2013/5/15,21.5,8,1
2013/5/16,18.5,8,1
2013/5/17,19.6,8,1
2013/5/18,20.2,8,1
2013/5/19,17.4,8,1
2013/5/20,21.3,8,1
2013/5/21,22.7,8,1
2013/5/22,23.4,8,1
2013/5/23,21.6,8,1
2013/5/24,21.3,8,1
2013/5/25,21.4,8,1
2013/5/26,22.0,8,1
2013/5/27,21.8,8,1
2013/5/28,20.7,8,1
2013/5/29,18.5,8,1
2013/5/30,20.3,8,1
2013/5/31,21.8,8,1
2013/6/1,21.2,8,1
2013/6/2,22.2,8,1
2013/6/3,22.5,8,1
2013/6/4,23.6,8,1
2013/6/5,22.8,8,1
2013/6/6,22.4,8,1
2013/6/7,22.3,8,1
2013/6/8,22.8,8,1
2013/6/9,22.6,8,1
2013/6/10,22.4,8,1
2013/6/11,22.4,8,1
2013/6/12,26.7,8,1
2013/6/13,27.6,8,1
2013/6/14,27.3,8,1
2013/6/15,25.0,8,1
2013/6/16,26.9,8,1
2013/6/17,27.0,8,1
2013/6/18,27.3,8,1
2013/6/19,23.0,8,1
2013/6/20,20.7,8,1
2013/6/21,20.7,8,1
2013/6/22,22.3,8,1
2013/6/23,24.0,8,1
2013/6/24,23.8,8,1
2013/6/25,24.2,8,1
2013/6/26,20.6,8,1
2013/6/27,23.9,8,1
2013/6/28,23.0,8,1
2013/6/29,24.4,8,1
2013/6/30,23.7,8,1
2013/7/1,24.4,8,1
2013/7/2,23.7,8,1
2013/7/3,20.9,8,1
2013/7/4,23.5,8,1
2013/7/5,27.3,8,1
2013/7/6,28.8,8,1
2013/7/7,28.7,8,1
2013/7/8,30.5,8,1
2013/7/9,31.1,8,1
2013/7/10,31.4,8,1
2013/7/11,31.8,8,1
2013/7/12,31.3,8,1
2013/7/13,28.4,8,1
2013/7/14,27.4,8,1
2013/7/15,27.4,8,1
2013/7/16,26.8,8,1
2013/7/17,27.4,8,1
2013/7/18,27.2,8,1
2013/7/19,26.0,8,1
2013/7/20,26.4,8,1
2013/7/21,27.7,8,1
2013/7/22,29.4,8,1
2013/7/23,30.2,8,1
2013/7/24,25.9,8,1
2013/7/25,26.7,8,1
2013/7/26,26.5,8,1
2013/7/27,27.6,8,1
2013/7/28,28.4,8,1
2013/7/29,24.2,8,1
2013/7/30,28.3,8,1
2013/7/31,28.4,8,1
2013/8/1,28.1,8,1
2013/8/2,28.4,8,1
2013/8/3,27.6,8,1
2013/8/4,27.4,8,1
2013/8/5,27.4,8,1
2013/8/6,27.5,8,1
2013/8/7,29.9,8,1
2013/8/8,30.3,8,1
2013/8/9,31.4,8,1
2013/8/10,31.9,8,1
2013/8/11,31.5,8,1
2013/8/12,30.3,8,1
2013/8/13,29.4,8,1
2013/8/14,29.4,8,1
2013/8/15,29.6,8,1
2013/8/16,29.5,8,1
2013/8/17,29.1,8,1
2013/8/18,29.7,8,1
2013/8/19,30.2,8,1
2013/8/20,30.1,8,1
2013/8/21,31.4,8,1
2013/8/22,32.0,8,1
2013/8/23,30.5,8,1
2013/8/24,27.3,8,1
2013/8/25,23.5,8,1
2013/8/26,23.4,8,1
2013/8/27,26.1,8,1
2013/8/28,26.0,8,1
2013/8/29,26.3,8,1
2013/8/30,26.9,8,1
2013/8/31,27.8,8,1
2013/9/1,25.4,8,1
2013/9/2,25.1,8,1
2013/9/3,24.9,8,1
2013/9/4,23.1,8,1
2013/9/5,24.3,8,1
2013/9/6,25.2,8,1
2013/9/7,24.1,8,1
2013/9/8,23.9,8,1
2013/9/9,25.0,8,1
2013/9/10,24.8,8,1
2013/9/11,26.2,8,1
2013/9/12,27.7,8,1
2013/9/13,27.9,8,1
2013/9/14,28.0,8,1
2013/9/15,25.5,8,1
2013/9/16,23.0,8,1
2013/9/17,22.4,8,1
2013/9/18,23.4,8,1
2013/9/19,23.3,8,1
2013/9/20,23.3,8,1
2013/9/21,24.2,8,1
2013/9/22,25.2,8,1
2013/9/23,24.7,8,1
2013/9/24,25.5,8,1
2013/9/25,25.9,8,1
2013/9/26,22.3,8,1
2013/9/27,19.9,8,1
2013/9/28,21.0,8,1
2013/9/29,21.7,8,1
2013/9/30,23.2,8,1
2013/10/1,25.4,8,1
2013/10/2,25.3,8,1
2013/10/3,22.9,8,1
2013/10/4,21.2,8,1
2013/10/5,23.4,8,1
2013/10/6,25.5,8,1
2013/10/7,22.9,8,1
2013/10/8,24.3,8,1
2013/10/9,24.2,8,1
2013/10/10,24.6,8,1
2013/10/11,25.5,8,1
2013/10/12,22.0,8,1
2013/10/13,19.4,8,1
2013/10/14,19.0,8,1
2013/10/15,18.2,8,1
2013/10/16,18.4,8,1
2013/10/17,15.7,8,1
2013/10/18,16.4,8,1
2013/10/19,17.0,8,1
2013/10/20,16.1,8,1
2013/10/21,20.3,8,1
2013/10/22,19.5,8,1
2013/10/23,17.9,8,1
2013/10/24,18.0,8,1
2013/10/25,18.4,8,1
2013/10/26,16.2,8,1
2013/10/27,14.8,8,1
2013/10/28,14.7,8,1
2013/10/29,14.7,8,1
2013/10/30,16.6,8,1
2013/10/31,15.9,8,1
2013/11/1,15.4,8,1
2013/11/2,15.1,8,1
2013/11/3,16.6,8,1
2013/11/4,16.6,8,1
2013/11/5,15.3,8,1
2013/11/6,14.2,8,1
2013/11/7,14.7,8,1
2013/11/8,14.8,8,1
2013/11/9,13.7,8,1
2013/11/10,13.3,8,1
2013/11/11,11.7,8,1
2013/11/12,8.1,8,1
2013/11/13,8.7,8,1
2013/11/14,8.8,8,1
2013/11/15,10.8,8,1
2013/11/16,11.0,8,1
2013/11/17,10.7,8,1
2013/11/18,10.9,8,1
2013/11/19,8.4,8,1
2013/11/20,8.7,5,1
2013/11/21,8.2,8,1
2013/11/22,9.0,8,1
2013/11/23,9.4,8,1
2013/11/24,10.4,8,1
2013/11/25,11.8,8,1
2013/11/26,9.8,8,1
2013/11/27,7.9,8,1
2013/11/28,6.7,8,1
2013/11/29,5.1,8,1
2013/11/30,7.1,8,1
2013/12/1,7.9,8,1
2013/12/2,8.3,8,1
2013/12/3,8.4,8,1
2013/12/4,8.4,8,1
2013/12/5,9.2,8,1
2013/12/6,8.7,8,1
2013/12/7,9.0,8,1
2013/12/8,8.1,8,1
2013/12/9,6.8,8,1
2013/12/10,8.9,8,1
2013/12/11,7.3,8,1
2013/12/12,6.0,8,1
2013/12/13,3.5,8,1
2013/12/14,4.6,8,1
2013/12/15,4.8,8,1
2013/12/16,6.3,8,1
2013/12/17,7.3,8,1
2013/12/18,6.1,8,1
2013/12/19,7.3,8,1
2013/12/20,5.2,8,1
2013/12/21,4.7,8,1
2013/12/22,5.1,8,1
2013/12/23,5.4,8,1
2013/12/24,4.9,8,1
2013/12/25,5.0,8,1
2013/12/26,5.5,8,1
2013/12/27,6.1,8,1
2013/12/28,1.4,8,1
2013/12/29,1.7,8,1
2013/12/30,3.2,8,1
2013/12/31,4.6,8,1
2014/1/1,5.5,8,1
2014/1/2,6.3,8,1
2014/1/3,4.8,8,1
2014/1/4,5.7,8,1
2014/1/5,3.6,8,1
2014/1/6,4.0,8,1
2014/1/7,3.5,8,1
2014/1/8,5.2,8,1
2014/1/9,5.9,8,1
2014/1/10,1.1,8,1
2014/1/11,3.0,8,1
2014/1/12,4.2,8,1
2014/1/13,2.7,8,1
2014/1/14,1.9,8,1
2014/1/15,4.0,8,1
2014/1/16,4.1,8,1
2014/1/17,4.4,8,1
2014/1/18,3.0,8,1
2014/1/19,2.1,8,1
2014/1/20,2.2,8,1
2014/1/21,3.7,8,1
2014/1/22,3.0,8,1
2014/1/23,3.8,8,1
2014/1/24,4.1,8,1
2014/1/25,6.7,8,1
2014/1/26,6.0,8,1
2014/1/27,2.7,8,1
2014/1/28,4.5,8,1
2014/1/29,6.2,8,1
2014/1/30,4.0,8,1
2014/1/31,8.1,8,1
2014/2/1,5.9,8,1
2014/2/2,7.9,8,1
2014/2/3,9.8,8,1
2014/2/4,5.2,8,1
2014/2/5,0.7,8,1
2014/2/6,0.8,8,1
2014/2/7,2.9,8,1
2014/2/8,2.0,8,1
2014/2/9,5.4,8,1
2014/2/10,3.7,8,1
2014/2/11,2.5,8,1
2014/2/12,3.7,8,1
2014/2/13,4.5,8,1
2014/2/14,1.6,8,1
2014/2/15,4.8,8,1
2014/2/16,6.1,8,1
2014/2/17,4.1,8,1
2014/2/18,3.3,8,1
2014/2/19,3.4,8,1
2014/2/20,4.1,8,1
2014/2/21,3.7,8,1
2014/2/22,3.1,8,1
2014/2/23,4.7,8,1
2014/2/24,5.4,8,1
2014/2/25,7.4,8,1
2014/2/26,8.8,8,1
2014/2/27,9.8,8,1
2014/2/28,12.5,8,1
2014/3/1,10.1,8,1
2014/3/2,9.1,8,1
2014/3/3,7.2,8,1
2014/3/4,6.2,8,1
2014/3/5,7.6,8,1
2014/3/6,3.4,8,1
2014/3/7,2.4,8,1
2014/3/8,3.3,8,1
2014/3/9,5.4,8,1
2014/3/10,1.7,8,1
2014/3/11,4.2,8,1
2014/3/12,8.5,8,1
2014/3/13,9.0,8,1
2014/3/14,6.2,8,1
2014/3/15,5.6,8,1
2014/3/16,8.5,8,1
2014/3/17,11.1,8,1
2014/3/18,10.5,8,1
2014/3/19,9.8,8,1
2014/3/20,9.3,8,1
2014/3/21,5.6,8,1
2014/3/22,6.1,8,1
2014/3/23,9.5,8,1
2014/3/24,12.3,8,1
2014/3/25,13.8,8,1
2014/3/26,11.6,8,1
2014/3/27,13.2,8,1
2014/3/28,13.9,8,1
2014/3/29,14.4,8,1
2014/3/30,14.1,8,1
2014/3/31,12.2,8,1
2014/4/1,13.1,8,1
2014/4/2,14.7,8,1
2014/4/3,15.7,8,1
2014/4/4,11.6,8,1
2014/4/5,8.5,8,1
2014/4/6,7.0,8,1
2014/4/7,10.6,8,1
2014/4/8,14.0,8,1
2014/4/9,15.7,8,1
2014/4/10,13.2,8,1
2014/4/11,11.4,8,1
2014/4/12,12.7,8,1
2014/4/13,12.6,8,1
2014/4/14,13.3,8,1
2014/4/15,15.5,8,1
2014/4/16,18.1,8,1
2014/4/17,19.4,8,1
2014/4/18,16.3,8,1
2014/4/19,13.2,8,1
2014/4/20,10.5,8,1
2014/4/21,12.6,8,1
2014/4/22,14.1,8,1
2014/4/23,15.1,8,1
2014/4/24,15.5,8,1
2014/4/25,17.1,8,1
2014/4/26,17.6,8,1
2014/4/27,16.9,8,1
2014/4/28,16.3,8,1
2014/4/29,14.6,8,1
2014/4/30,16.0,8,1
2014/5/1,17.6,8,1
2014/5/2,19.4,8,1
2014/5/3,17.1,8,1
2014/5/4,16.6,8,1
2014/5/5,15.1,8,1
2014/5/6,15.0,8,1
2014/5/7,16.0,8,1
2014/5/8,17.1,8,1
2014/5/9,17.8,8,1
2014/5/10,18.1,8,1
2014/5/11,18.8,8,1
2014/5/12,17.0,8,1
2014/5/13,19.9,8,1
2014/5/14,19.8,8,1
2014/5/15,18.3,8,1
2014/5/16,18.6,8,1
2014/5/17,17.8,8,1
2014/5/18,19.6,8,1
2014/5/19,20.2,8,1
2014/5/20,18.7,8,1
2014/5/21,17.7,8,1
2014/5/22,17.8,8,1
2014/5/23,18.2,8,1
2014/5/24,20.2,8,1
2014/5/25,23.3,8,1
2014/5/26,19.3,8,1
2014/5/27,21.2,8,1
2014/5/28,22.1,8,1
2014/5/29,23.1,8,1
2014/5/30,23.6,8,1
2014/5/31,25.3,8,1
2014/6/1,26.5,8,1
2014/6/2,25.0,8,1
2014/6/3,24.3,8,1
2014/6/4,22.8,8,1
2014/6/5,19.8,8,1
2014/6/6,23.0,8,1
2014/6/7,23.7,8,1
2014/6/8,24.0,8,1
2014/6/9,24.7,8,1
2014/6/10,24.6,8,1
2014/6/11,23.0,8,1
2014/6/12,23.6,8,1
2014/6/13,22.1,8,1
2014/6/14,23.0,8,1
2014/6/15,24.6,8,1
2014/6/16,25.7,8,1
2014/6/17,24.3,8,1
2014/6/18,22.2,8,1
2014/6/19,23.9,8,1
2014/6/20,25.0,8,1
2014/6/21,24.6,8,1
2014/6/22,22.8,8,1
2014/6/23,23.2,8,1
2014/6/24,24.4,8,1
2014/6/25,24.1,8,1
2014/6/26,24.3,8,1
2014/6/27,24.4,8,1
2014/6/28,24.0,8,1
2014/6/29,25.2,8,1
2014/6/30,25.6,8,1
2014/7/1,26.1,8,1
2014/7/2,25.8,8,1
2014/7/3,22.2,8,1
2014/7/4,22.6,8,1
2014/7/5,24.4,8,1
2014/7/6,23.7,8,1
2014/7/7,22.2,8,1
2014/7/8,27.2,8,1
2014/7/9,26.4,8,1
2014/7/10,25.4,8,1
2014/7/11,27.5,8,1
2014/7/12,27.2,8,1
2014/7/13,23.3,8,1
